,title,composer,reproducciones,posted_Date,comments,likes,shares
0,so... now what? [Now on Spotify],frrb,"1,662",2021-10-23T12:04:54.000Z,11,51,10
1,Don't wait for me [Now On Spotify],frrb,"1,388",2021-06-15T01:21:12.000Z,11,45,4
2,that sucks [Now On Spotify],frrb,"9,015",2021-06-03T23:46:40.000Z,16,224,21
3,simpler times... [Now On Spotify],frrb,"10,193",2021-05-14T18:54:45.000Z,12,237,13
4,then you left... [Now On Spotify],frrb,"9,936",2021-04-13T14:51:22.000Z,15,206,13
5,Yeah? Whatever! [Now On Spotify],frrb,"5,763",2021-03-27T02:23:37.000Z,15,131,8
6,why should i care? [Now On Spotify],frrb,"17,110",2021-02-10T23:32:14.000Z,27,351,20
7,but life goes on [Now On Spotify],frrb,"53,732",2020-12-16T18:39:29.000Z,76,686,43
8,Geek Rays,frrb,"5,465",2020-10-30T12:13:21.000Z,6,63,7
9,You've Got It All Wrong...,frrb,984,2020-10-30T12:13:13.000Z,1,16,1
10,"Dude, Look At The Road!",frrb,"4,582",2020-10-30T12:13:03.000Z,7,79,8
11,Lets Talk In Your Backyard,frrb,"2,353",2020-10-30T12:12:55.000Z,4,59,8
12,Enough...,frrb,691,2020-10-30T12:12:48.000Z,0,11,1
13,my gut tells me i'm screwed,frrb,"72,054",2020-09-09T23:11:35.000Z,49,665,28
14,just go home speed racer,frrb,"2,891",2020-06-24T02:22:16.000Z,8,56,10
15,kickflip my gradma off the stairs,frrb,"47,474",2020-06-05T17:02:36.000Z,37,653,33
16,it's just a phase (it's not)[Now on Spotify],frrb,"10,747",2020-02-16T18:38:16.000Z,13,132,9
17,Highschool memories [ Now on Spotify ],frrb,"4,862",2020-01-27T15:45:41.000Z,6,85,8
18,Soulmates [Now On Spotify],frrb,"22,768",2019-09-02T17:41:25.000Z,12,273,23
19,I try really hard... [ Now On Spotify ],frrb,"62,184",2019-07-22T18:03:47.000Z,28,"1,001",53
20,Growing [ Now On Spotify ],frrb,"9,847",2019-05-09T22:31:16.000Z,14,180,16
21,I'm so nervous [ Now On Spotify ],frrb,"42,658",2019-04-29T19:28:51.000Z,20,557,32
22,ERASE,frrb,"44,454",2018-09-30T16:50:40.000Z,15,638,35
23,I didn't kill your kids.,frrb,"1,125",2018-09-10T23:01:08.000Z,3,22,3
24,loser,frrb,"58,769",2018-09-02T17:12:47.000Z,23,717,33
25,end of a summer (goodbye version),nekoi,"5,635",2021-08-31T04:01:03.000Z,12,147,12
26,ghost,nekoi,"18,667",2020-06-24T01:31:57.000Z,30,381,37
27,i hate that i miss you,nekoi,"17,796",2020-03-04T18:08:00.000Z,57,396,40
28,end of a summer,nekoi,"39,473",2019-08-18T00:02:37.000Z,55,742,54
29,for you,nekoi,"17,273",2019-08-06T22:53:23.000Z,14,355,31
30,glass//i feel lost,nekoi,"165,268",2019-08-05T18:32:47.000Z,80,"2,272",171
31,fragile,nekoi,"95,303",2018-12-09T07:44:50.000Z,22,"1,167",67
32,exist,nekoi,"184,147",2018-12-05T23:29:17.000Z,58,"2,276",128
33,weight of the world,nekoi,"85,129",2018-11-04T04:01:31.000Z,27,877,38
34,i can't describe this feeling.,nekoi,"460,634",2018-10-08T17:16:52.000Z,153,"5,909",178
35,brave shine,nekoi,"10,128",2018-08-05T15:16:47.000Z,6,162,16
36,starry,nekoi,"247,649",2018-03-23T18:43:14.000Z,101,"3,764",213
37,the idea of you v1 (slumped),kudasai,290,2022-02-06T05:00:00.000Z,3,24,1
38,flowers next to me,kudasai,113,2022-02-06T05:00:00.000Z,1,8,Repost
39,eventide,kudasai,178,2022-02-06T05:00:00.000Z,2,7,Repost
40,oh darling,kudasai,95,2022-02-06T05:00:00.000Z,2,6,Repost
41,ginseng&honey,kudasai,126,2022-02-06T05:00:00.000Z,2,4,Repost
42,horizon colors and you,kudasai,89,2022-02-06T05:00:00.000Z,1,5,Repost
43,first sight v1,kudasai,71,2022-02-06T05:00:00.000Z,2,3,Repost
44,petals,kudasai,141,2022-02-06T05:00:00.000Z,1,7,1
45,monochrome lens,kudasai,96,2022-02-06T05:00:00.000Z,2,7,Repost
46,how i feel,kudasai,"2,968",2022-01-15T01:14:52.000Z,7,77,8
47,does she know,kudasai,"3,677",2022-01-15T01:14:51.000Z,2,77,10
48,take flight,kudasai,"2,757",2022-01-15T01:14:49.000Z,7,87,3
49,honeymoon,kudasai,"5,892",2022-01-15T01:14:48.000Z,10,203,16
50,moonkissed,kudasai,"11,509",2021-12-31T18:12:31.000Z,17,420,32
51,homealoneblues,kudasai,892,2021-12-12T08:00:00.000Z,1,53,5
52,homealoneblue,kudasai,"12,314",2021-10-27T04:13:56.000Z,32,293,15
53,dontsleepangry,kudasai,"15,254",2021-10-01T23:33:15.000Z,18,323,25
54,night light (ft. BENJI GABRIEL),kudasai,"5,424",2021-08-25T17:33:59.000Z,3,79,3
55,periwinkle girl,kudasai,"6,601",2021-08-25T17:33:56.000Z,4,70,2
56,solace,kudasai,"4,470",2021-08-25T17:33:53.000Z,2,76,5
57,worse timing,kudasai,"4,137",2021-08-25T17:33:51.000Z,3,74,6
58,promises,kudasai,"5,304",2021-08-25T17:33:49.000Z,3,74,3
59,portra,kudasai,"4,316",2021-08-25T17:33:40.000Z,4,59,1
60,cso's ballad,kudasai,"5,197",2021-08-25T17:33:35.000Z,5,81,3
61,evening voyage,kudasai,"6,345",2021-08-25T17:33:31.000Z,5,74,2
62,moonridge ave,kudasai,"6,398",2021-08-25T17:33:29.000Z,11,67,6
63,getaway (ft. daleun),kudasai,"10,437",2021-08-25T17:33:23.000Z,10,203,14
64,clemetine,kudasai,"7,804",2021-08-25T17:33:19.000Z,7,167,7
65,intro (after hours),kudasai,"17,908",2021-08-25T17:33:12.000Z,17,321,11
66,daleun & kudasai - running,kudasai,"34,870",2021-07-30T04:34:41.000Z,38,869,59
67,clairvoyant,kudasai,"32,798",2021-06-16T02:32:32.000Z,35,628,41
68,homebody,kudasai,"55,817",2020-12-04T05:21:43.000Z,50,886,49
69,tired eyes,kudasai,"113,066",2020-09-19T04:13:13.000Z,104,"1,987",87
70,cerulean,kudasai,"26,177",2020-05-15T00:00:00.000Z,38,455,19
71,aurora,kudasai,"73,300",2020-04-09T04:22:00.000Z,51,"1,127",69
72,twilight,kudasai,"60,127",2020-03-27T07:04:00.000Z,70,"1,066",59
73,kudasai & two sleepy - fortune,kudasai,"117,620",2019-11-09T17:58:20.000Z,90,"1,993",123
74,False Hope,kudasai,"79,123",2019-08-23T05:52:32.000Z,19,910,41
75,Corduroy,kudasai,"56,222",2019-08-23T05:52:29.000Z,9,553,25
76,Strides,kudasai,"47,033",2019-08-23T05:52:26.000Z,18,443,19
77,Identity,kudasai,"39,466",2019-08-23T05:52:22.000Z,7,330,12
78,Bad Timing,kudasai,"39,432",2019-08-23T05:52:20.000Z,10,396,19
79,Familiar,kudasai,"36,563",2019-08-23T05:52:16.000Z,9,359,17
80,Overture,kudasai,"76,284",2019-08-23T05:52:13.000Z,33,776,28
81,Platinum,kudasai,"85,477",2019-08-23T05:52:11.000Z,32,823,38
82,Better Days,kudasai,"69,134",2019-08-23T05:52:07.000Z,22,828,27
83,Echoes,kudasai,"55,296",2019-08-23T05:52:05.000Z,15,548,34
84,First Sight,kudasai,"47,155",2019-08-23T05:52:03.000Z,21,464,30
85,Tomorrow,kudasai,"53,125",2019-08-23T05:52:01.000Z,25,663,34
86,kudasai & luv.ly - paradise,kudasai,"113,832",2019-05-18T03:57:15.000Z,74,"1,389",103
